0.797,0.469,-7.473,0.129,0.589,0.0761,0.68,142.951,0
0.603,0.783,-3.245,0.031,0.107,0,0.332,103.974,0
0.576,0.639,-9.164,0.0397,0.00538,0.86,0.0619,132.993,0
0.396,0.455,-13.197,0.036,0.41,1.15e-06,0.434,156.48,0
0.783,0.505,-7.754,0.0373,0.137,0.000538,0.582,77.015,0
0.677,0.693,-7.561,0.0343,0.437,0,0.755,130.013,0
0.46,0.389,-11.603,0.031,0.349,0,0.606,123.213,0
0.74,0.434,-10.818,0.0453,0.88,0.000666,0.89,93.51,0
0.694,0.517,-10.275,0.0302,0.0693,3.28e-06,0.932,144.782,0
0.809,0.705,-4.433,0.0405,0.0071,0.0294,0.398,122.972,0
0.709,0.62,-4.708,0.175,0.00229,3.37e-06,0.692,99.947,0
0.558,0.729,-3.918,0.329,0.408,0,0.348,123.998,0
0.552,0.828,-5.321,0.0302,0.0909,1.07e-06,0.147,129.942,0
0.704,0.813,-7.972,0.0825,0.471,0,0.681,125.036,0
0.573,0.695,-5.173,0.0516,0.107,0,0.364,119.61,0
0.763,0.517,-7.939,0.161,0.188,1.4e-05,0.747,168.032,0
0.698,0.81,-5.032,0.0367,0.426,0,0.678,109.055,0
0.466,0.995,-4.224,0.328,0.00141,0.0455,0.159,180.075,0
0.564,0.31,-7.933,0.0338,0.828,0,0.524,70.418,0
0.733,0.818,-7.222,0.0859,0.0241,0,0.253,116.019,0
0.471,0.697,-4.753,0.105,0.0661,3.64e-05,0.797,169.99,0
0.715,0.649,-5.123,0.0285,0.06,0.0122,0.246,119.992,0
0.63,0.561,-4.906,0.0369,0.0977,0.00023,0.492,90.932,0
0.743,0.705,-6.049,0.0442,0.357,0,0.826,93.086,0
0.625,0.603,-5.728,0.052,0.0165,0.803,0.224,128.02,0
0.668,0.691,-7.066,0.0885,0.102,5.1e-05,0.465,124.01,0
0.684,0.619,-7.005,0.0386,0.0716,0,0.284,125.046,0
0.583,0.662,-6.025,0.156,0.00541,1.96e-06,0.636,150.305,0
0.41,0.615,-7.339,0.0614,0.317,1.3e-06,0.192,174.182,0
0.794,0.569,-8.057,0.0371,0.663,0.00343,0.706,92.915,0
0.686,0.898,-2.72,0.052,0.000698,4.61e-05,0.696,122.985,0
0.699,0.641,-7.564,0.0289,0.13,0.000218,0.728,120.745,0
0.738,0.718,-5.777,0.0414,0.163,0,0.685,125.047,0
0.605,0.813,-4.785,0.0448,0.00702,0.114,0.238,167.997,0
0.853,0.56,-4.961,0.0406,0.013,0,0.86,134.066,0
0.671,0.611,-8.453,0.0328,0.00969,0.431,0.378,116.934,0
0.671,0.748,-4.978,0.0232,0.0368,6.59e-05,0.756,97.679,0
0.447,0.684,-4.721,0.09,0.175,0,0.437,125.655,0
0.421,0.698,-9.784,0.0528,0.151,0.000959,0.447,122.624,0
0.686,0.608,-8.046,0.0678,0.0176,6.7e-06,0.59,183.98,0
0.497,0.848,-6.256,0.482,0.108,0.000184,0.472,159.846,0
